venue,journal_norm,type,index_class,index_class_rule,journal_in_if_workbook,journal_has_impact_factor,if_match_rule,n_faculty_publication_rows
Applied Economic Perspectives and Policy,applied economic perspectives policy,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,24
American Journal of Agricultural Economics,american journal agricultural economics,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,10
Rangeland Ecology & Management,rangeland ecology management,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,10
Food Policy,food policy,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,8
Resource and Energy Economics,resource energy economics,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,6
Journal of Agricultural and Resource Economics,journal agricultural resource economics,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,5
Agribusiness: An International Journal,agribusiness international journal,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,4
Climatic Change,climatic change,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,4
Journal of Animal Science,journal animal science,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,4
PLOS ONE,plos one,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,4
Translational Animal Science,translational animal science,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,4
Water Resources Research,water resources research,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,4
Annual Review of Resource Economics,annual review resource economics,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,3
Environmental Research Letters,environmental research letters,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,3
Frontiers in Veterinary Science,frontiers in veterinary science,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,3
Journal of School Health,journal school health,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,3
Land Economics,land economics,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,3
Agricultural Water Management,agricultural water management,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,2
BioScience,bioscience,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,2
Economic Development Quarterly,economic development quarterly,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,2
Ecosystem Services,ecosystem services,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,2
Energy Economics,energy economics,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,2
Environmental Research: Health,environmental research health,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,2
Experimental Economics,experimental economics,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,2
Journal of Development Economics,journal development economics,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,2
Journal of Environmental Quality,journal environmental quality,JA,a,Journal has at least one populated IF_2021-IF_2026 value,TRUE,TRUE,Exact journal-year,2
