key_id,pd_number,project_title,start_date,end_date,date_sent,status,amount
K000156290,156290,OCO-neXt: The Next Generation Orbiting Carbon Observatory,2024-04-01,1933-05-31,2023-07-26,NA,1012487.01
K000159292,159292,Determining Mechanisms of Robustness in Organismal Pattern Formation,2025-01-10,1930-01-09,2024-05-31,NA,1996198.25
K000159228,159228,Collaborative Research: SRS RN: Regional Systems Research Network to Improve Food Security for Underserved US Populations,2025-09-01,1930-08-31,2024-05-31,NA,2615752.31
K000159339,159339,Turfgrass Genotype Research to Advance Sustainable Solutions,2025-07-01,1930-06-30,2024-06-06,NA,469412.39
K000159263,159263,SAWFLIES: Sustaining Agronomy of Wheat for the Future by Leveraging Interdisciplinary Expertise in Science,2025-08-01,1930-07-31,2024-06-10,NA,1429434.5
K000159044,159044,Enabling Farmer Discovery and Managing Critical Tradeoffs with the Emergence of National Scale Carbon Markets,2025-03-01,1930-02-28,2024-06-24,Funded,2946168.56
K000158124,158124,CAREER: Regenerating our food systems within Safe and Just Earth System Boundaries,2025-05-01,1930-04-30,2024-07-26,NA,518192.89
K000160044,160044,CAREER: Accelerating Biodiversity Science and Enhancing Public Engagement with Automated Arthropod Identification and AI Education,2025-09-01,1930-08-31,2024-07-29,NA,1509901.91
K000160370,160370,"Combat Meat-Borne Pathogens By Targeting Their Potential Shelter, Pseudomonas Spp., In Meat Fabrication Facilities",2025-09-01,1930-08-31,2024-08-30,NA,649893.28
K000159990,159990,CAREER: Integration of light and temperature cues into plant gene regulation,2025-06-01,1930-05-31,2024-08-30,NA,1093877.27
K000158191,158191,"Metabolic Dysfunction Associated Steatotic Liver Disease, Dietary Fiber, Pulses, the Gut Microbiome and Sphingolipid Mediation",2025-07-01,1930-06-30,2024-11-11,NA,2937453.37
K000160728,160728,Beef Cattle With High Pulmonary Arterial Pressures: Rapid Identification And Outcome Of Lubabegron Supplementation,2025-08-01,1930-07-31,2024-11-30,NA,443138.53
K000160799,160799,The Pesticide Regulatory Education Program (PREP) Network,2025-10-01,1930-09-30,2024-12-05,Funded,2804746.43
K000161156,161156,Targeting the Gut Microbiome to Break the Linkage Between Positive Energy Balance and Chronic Disease,2025-07-01,1930-06-30,2025-02-05,NA,2937138.57
K000161884,161884,BII: Life at the Extremes: Investigating the co-evolution of extremophilic plants and their rhizosphere microbiomes in the Earth's harshest ecosystems,2025-09-01,1931-08-31,2025-02-20,NA,1999999.99
K000161296,161296,"Colonic Senescence: Unveiling Microbiome Drivers And Impact Of Pulses In A Randomized, Placebo-Controlled, Clinical Trial (R01)",2025-12-01,1930-11-30,2025-02-21,NA,66422.15
K000162242,162242,"Nutrition, stress, and immunology of bumble bees and surrogate insects",2025-06-01,1930-05-31,2025-03-25,Funded,398999.54
